abstract_id,model,num_sentences,num_sections,sections_present,hypothesis_length,fa_baseline_lp,fa_top_section,sh_top_section,top_section_agree,fa_time_s,sh_time_s,sh_forward_passes,fa_background,sh_background,words_background,fa_method,sh_method,words_method,fa_objective,sh_objective,words_objective,fa_other,sh_other,words_other,fa_result,sh_result,words_result
train_34,phi3,7,3,"method,objective,result",59,-26.03125,objective,objective,True,0.099,0.186,8,,,0,0.765625,14.29734375,132,44.71875,53.2696875,27,,,0,24.625,29.46421875,40
train_35,phi3,7,4,"background,method,objective,result",51,-28.703125,background,background,True,0.111,0.336,16,58.609375,72.45421875,68,-1.5,10.4303125,44,0.3125,16.936875,20,,,0,-0.65625,0.47546875,1
train_36,phi3,9,4,"background,method,objective,result",52,-28.0,objective,objective,True,0.119,0.349,16,57.375,69.82890625,39,1.875,5.45890625,42,79.0,84.0434375,24,,,0,2.171875,24.29375,78
train_37,phi3,4,4,"background,method,objective,result",61,-39.0625,result,result,True,0.11,0.337,16,-0.25,5.1184375,23,0.21875,4.89375,17,25.5,32.1690625,42,,,0,43.0,48.13125,49
train_38,phi3,8,3,"background,method,result",62,-40.625,method,method,True,0.089,0.17,8,14.5625,19.9946875,55,43.625,51.4146875,68,,,0,,,0,4.28125,7.590625,25
train_39,phi3,7,4,"background,method,objective,result",52,-25.15625,result,objective,False,0.116,0.35,16,-0.75,2.739375,36,6.0,32.67125,76,63.78125,88.7578125,27,,,0,69.28125,69.6753125,26
train_40,phi3,5,3,"background,method,result",67,-32.03125,background,background,True,0.086,0.166,8,38.28125,41.02125,46,26.0625,25.5496875,28,,,0,,,0,0.0,5.0853125,41
train_41,phi3,10,3,"background,method,result",62,-32.53125,method,method,True,0.093,0.177,8,21.21875,36.17625,61,107.71875,113.993125,94,,,0,,,0,0.25,4.924375,16
train_42,phi3,3,3,"background,method,objective",59,-27.6875,objective,objective,True,0.083,0.159,8,2.953125,8.87015625,18,14.5,18.20234375,20,48.25,54.9275,28,,,0,,,0
train_43,phi3,6,2,"background,other",54,-30.109375,background,background,True,0.065,0.083,4,91.265625,99.3025,27,,,0,,,0,5.609375,15.838125,36,,,0
train_44,phi3,10,4,"background,method,objective,result",50,-44.0,result,result,True,0.117,0.345,16,4.96875,13.3859375,33,25.1875,28.1565625,52,9.34375,8.4196875,20,,,0,44.25,44.2878125,76
train_45,phi3,10,4,"background,method,objective,result",67,-27.828125,method,method,True,0.114,0.345,16,-0.484375,8.7003125,46,81.734375,94.93390625,65,1.390625,14.535625,36,,,0,-0.796875,-2.74796875,17
train_46,phi3,7,2,"method,result",55,-31.40625,method,method,True,0.066,0.085,4,,,0,90.34375,89.395,59,,,0,,,0,67.03125,65.82375,81
train_47,phi3,10,3,"background,method,result",64,-36.8125,result,result,True,0.095,0.177,8,11.28125,17.5640625,21,3.46875,14.4521875,126,,,0,,,0,100.1875,106.79625,74
train_48,phi3,5,3,"background,method,objective",49,-26.140625,objective,objective,True,0.085,0.164,8,1.390625,15.5553125,36,-0.203125,0.04765625,10,72.796875,92.25640625,42,,,0,,,0
train_49,phi3,6,4,"background,method,other,result",56,-24.078125,result,result,True,0.108,0.328,16,4.703125,22.22421875,33,0.25,14.22421875,15,,,0,-0.5625,0.69734375,6,31.078125,44.96359375,49
train_50,phi3,6,3,"background,method,result",61,-27.0,method,method,True,0.087,0.166,8,0.53125,1.4478125,24,59.375,82.30390625,58,,,0,,,0,0.015625,13.24828125,39
train_51,phi3,7,3,"background,method,result",49,-37.15625,method,method,True,0.088,0.169,8,24.28125,29.4503125,37,38.84375,46.1696875,55,,,0,,,0,2.84375,5.09875,43
train_52,phi3,4,3,"background,method,result",54,-32.375,background,background,True,0.087,0.167,8,42.4375,55.1428125,65,-0.15625,6.7525,16,,,0,,,0,36.25,49.3546875,26
train_53,phi3,9,3,"background,objective,result",60,-43.71875,background,background,True,0.102,0.186,8,95.40625,99.760625,167,,,0,56.53125,63.338125,36,,,0,1.5,7.6825,17
train_54,phi3,8,3,"method,objective,result",60,-36.0625,method,method,True,0.09,0.17,8,,,0,80.375,85.8225,102,-1.21875,2.7175,26,,,0,0.8125,2.335,19
train_55,phi3,7,4,"background,method,objective,other",58,-26.375,background,background,True,0.111,0.337,16,57.0625,66.289375,83,0.59375,9.29796875,23,0.078125,2.56609375,20,0.25,1.4715625,1,,,0
train_56,phi3,6,3,"background,method,objective",61,-37.59375,method,method,True,0.089,0.169,8,5.84375,14.3353125,48,52.59375,58.1753125,72,-0.75,3.895625,19,,,0,,,0
train_57,phi3,6,4,"background,method,objective,result",66,-32.6875,objective,objective,True,0.11,0.334,16,19.84375,26.5940625,58,-0.0625,3.9734375,31,41.4375,50.30375,26,,,0,40.6875,38.19125,28
train_58,phi3,8,3,"method,objective,result",51,-29.625,result,result,True,0.094,0.184,8,,,0,-0.6875,16.5375,36,22.03125,21.1965625,40,,,0,37.9375,45.7034375,115
train_59,phi3,8,3,"background,method,result",70,-28.40625,method,method,True,0.087,0.167,8,27.375,29.99125,61,63.15625,67.4478125,40,,,0,,,0,0.34375,1.0921875,37
train_60,phi3,9,4,"background,method,other,result",60,-38.0625,result,result,True,0.117,0.351,16,-0.40625,1.7121875,38,37.25,41.6746875,44,,,0,-1.59375,-0.15875,6,41.375,46.959375,46
train_61,phi3,10,4,"background,method,objective,result",62,-32.28125,objective,background,False,0.12,0.353,16,22.71875,34.02640625,39,10.8125,22.17140625,109,30.125,33.815,26,,,0,-0.640625,-2.6065625,27
train_62,phi3,9,4,"background,method,objective,result",59,-58.1875,result,result,True,0.14,0.384,16,-0.78125,5.2221875,28,3.875,19.6396875,108,12.375,25.273125,46,,,0,21.75,33.6775,80
train_63,phi3,4,3,"background,method,result",57,-32.6875,result,result,True,0.087,0.167,8,10.0,20.858125,16,28.65625,30.0934375,49,,,0,,,0,42.375,47.7359375,56
train_64,phi3,8,4,"background,method,other,result",58,-51.90625,method,method,True,0.119,0.346,16,64.96875,56.9828125,22,86.21875,72.6259375,48,,,0,-0.15625,0.47375,2,11.125,11.38625,71
train_65,phi3,6,3,"background,method,result",54,-34.5625,background,background,True,0.092,0.176,8,69.625,78.1021875,45,14.65625,24.4771875,58,,,0,,,0,0.65625,2.483125,51
train_66,phi3,7,4,"background,method,objective,result",54,-28.640625,method,method,True,0.113,0.341,16,3.078125,13.9646875,34,38.921875,50.47734375,38,7.421875,19.13359375,25,,,0,1.15625,3.47125,51
train_67,phi3,6,4,"method,objective,other,result",58,-20.71875,objective,objective,True,0.111,0.334,16,,,0,-0.09375,7.27625,26,37.25,54.6453125,38,-0.25,2.13234375,6,1.109375,20.85234375,56
train_68,phi3,4,3,"method,objective,result",57,-29.125,result,result,True,0.087,0.166,8,,,0,29.4375,37.375625,67,20.25,33.11875,23,,,0,61.25,62.755625,29
train_69,phi3,10,4,"background,method,objective,result",62,-33.21875,background,background,True,0.119,0.353,16,45.71875,47.6728125,52,34.78125,38.83,99,23.59375,32.2428125,21,,,0,-0.28125,4.785625,14
train_70,phi3,6,2,"background,method",59,-35.84375,background,background,True,0.063,0.081,4,40.90625,44.33,32,31.28125,35.63875,60,,,0,,,0,,,0
train_71,phi3,6,4,"background,method,objective,result",64,-34.34375,method,method,True,0.112,0.338,16,0.40625,4.414375,41,48.46875,56.8225,58,35.90625,47.110625,30,,,0,0.21875,0.30875,17
train_72,phi3,4,3,"background,method,objective",51,-19.515625,objective,objective,True,0.088,0.168,8,-1.578125,8.46734375,37,56.609375,55.1453125,34,94.734375,90.37171875,43,,,0,,,0
train_73,phi3,8,3,"background,method,result",60,-34.03125,result,result,True,0.09,0.171,8,23.71875,26.39875,104,8.53125,21.434375,27,,,0,,,0,27.25,34.385625,36
train_74,phi3,5,3,"background,method,result",55,-34.25,result,result,True,0.087,0.165,8,52.0625,50.72875,62,-0.25,3.315,26,,,0,,,0,81.5625,78.83125,26
train_75,phi3,8,3,"background,method,result",53,-36.46875,method,method,True,0.089,0.17,8,8.09375,15.0409375,26,67.46875,97.6121875,65,,,0,,,0,-0.96875,15.628125,47
train_76,phi3,8,4,"method,objective,other,result",66,-32.125,objective,objective,True,0.113,0.341,16,,,0,29.78125,34.496875,80,41.0625,44.546875,48,-0.65625,0.5775,7,-0.03125,7.19125,24
train_77,phi3,9,4,"background,method,objective,result",55,-25.234375,result,result,True,0.125,0.361,16,14.265625,23.41640625,53,30.296875,32.95046875,24,0.25,13.86,23,,,0,39.453125,49.66375,99
train_78,phi3,10,4,"background,method,other,result",46,-30.96875,method,method,True,0.125,0.362,16,5.375,10.37859375,36,63.09375,67.1921875,128,,,0,-0.046875,-0.27125,7,14.71875,17.91921875,39
train_79,phi3,8,3,"background,method,result",55,-34.40625,method,method,True,0.092,0.173,8,1.5,2.2540625,36,25.28125,41.7915625,88,,,0,,,0,2.71875,11.923125,52
train_80,phi3,6,3,"background,method,result",60,-33.03125,background,background,True,0.092,0.174,8,78.84375,86.2675,123,-0.75,5.648125,23,,,0,,,0,1.1875,10.678125,24
train_81,phi3,5,3,"background,method,result",60,-42.9375,result,result,True,0.103,0.188,8,1.375,12.3375,73,38.125,31.57875,21,,,0,,,0,111.4375,110.14625,156
train_82,phi3,4,3,"background,method,objective",58,-30.46875,background,background,True,0.087,0.167,8,74.40625,77.75546875,46,-1.0625,3.721875,50,0.953125,7.24140625,38,,,0,,,0
train_83,phi3,9,4,"background,method,objective,result",52,-32.5,result,result,True,0.107,0.324,16,-0.375,3.9684375,14,0.4375,2.3740625,9,14.875,18.0853125,26,,,0,41.5,43.3221875,57
train_84,phi3,4,2,"background,result",58,-35.21875,background,background,True,0.065,0.083,4,130.65625,141.89,70,,,0,,,0,,,0,1.09375,15.39125,55
train_85,phi3,10,4,"background,method,objective,result",62,-34.96875,objective,objective,True,0.131,0.369,16,2.96875,7.2915625,65,1.84375,9.35625,56,26.96875,36.6946875,90,,,0,-0.25,4.25125,27
train_86,phi3,9,4,"background,method,objective,result",61,-28.234375,method,method,True,0.126,0.362,16,2.15625,14.64484375,45,72.328125,81.6778125,79,44.765625,51.22265625,17,,,0,0.34375,1.9703125,70
train_87,phi3,10,5,"background,method,objective,other,result",61,-33.25,result,result,True,0.145,0.705,32,-0.96875,0.0425,23,2.84375,12.3921875,59,11.90625,22.7975,28,-0.0625,1.480625,14,21.75,37.5996875,44
train_88,phi3,8,2,"background,method",56,-29.546875,method,method,True,0.067,0.086,4,10.328125,21.29375,72,57.453125,71.409375,90,,,0,,,0,,,0
train_89,phi3,10,4,"background,method,objective,result",56,-38.28125,method,method,True,0.128,0.363,16,2.53125,14.124375,52,46.03125,63.67,75,-0.9375,4.9525,20,,,0,-1.09375,13.846875,58
train_90,phi3,7,3,"background,method,result",56,-40.53125,method,method,True,0.094,0.178,8,13.375,16.0190625,49,51.84375,61.025,108,,,0,,,0,22.25,23.2996875,35
train_91,phi3,10,3,"background,method,result",45,-35.5625,method,result,False,0.109,0.195,8,-0.03125,15.588125,143,2.4375,15.2371875,25,,,0,,,0,-1.40625,19.1746875,81
train_92,phi3,8,3,"background,method,result",54,-32.25,result,result,True,0.103,0.186,8,18.59375,50.2771875,96,0.5625,11.9421875,45,,,0,,,0,28.9375,55.280625,71
train_93,phi3,8,4,"background,method,objective,result",59,-30.234375,method,method,True,0.133,0.374,16,-2.984375,6.90703125,99,99.390625,109.561875,73,0.796875,12.264375,44,,,0,-0.359375,8.15734375,20
train_94,phi3,8,3,"background,method,result",56,-37.90625,method,method,True,0.101,0.182,8,2.9375,9.06875,35,86.46875,105.6025,84,,,0,,,0,5.0,12.1725,57
train_95,phi3,10,3,"background,method,result",65,-36.84375,method,method,True,0.091,0.173,8,37.09375,57.99,94,97.65625,121.17625,69,,,0,,,0,2.3125,8.24,22
train_96,phi3,7,3,"method,objective,result",54,-21.765625,objective,objective,True,0.086,0.165,8,,,0,-0.609375,6.24109375,44,33.203125,41.26578125,21,,,0,24.734375,27.7275,48
train_97,phi3,8,4,"background,method,objective,result",59,-35.34375,method,method,True,0.118,0.354,16,0.75,5.498125,21,40.78125,43.6028125,97,19.125,27.394375,31,,,0,19.21875,23.9109375,37
train_98,phi3,7,3,"background,method,result",52,-28.125,method,background,False,0.087,0.165,8,35.34375,36.02984375,44,39.375,33.31953125,73,,,0,,,0,0.421875,2.338125,22
train_99,phi3,6,3,"background,other,result",53,-31.859375,result,result,True,0.088,0.167,8,18.109375,20.31453125,59,,,0,,,0,2.203125,10.1378125,18,31.890625,32.56328125,15
train_100,phi3,5,3,"method,objective,result",45,-29.453125,result,result,True,0.085,0.163,8,,,0,0.9375,8.218125,35,31.328125,36.48171875,38,,,0,46.296875,50.97203125,39
train_101,phi3,6,4,"background,method,other,result",55,-36.65625,method,method,True,0.111,0.34,16,-1.40625,5.954375,56,92.46875,98.50375,40,,,0,30.21875,30.26625,5,1.4375,1.994375,36
train_102,phi3,9,4,"background,method,objective,result",64,-36.78125,background,background,True,0.126,0.361,16,64.53125,72.1315625,123,0.96875,8.3328125,63,1.25,7.78,14,,,0,0.40625,5.849375,19
train_103,phi3,9,4,"method,objective,other,result",57,-31.46875,method,method,True,0.14,0.383,16,,,0,76.46875,72.7028125,90,47.96875,47.796875,24,-0.078125,4.13390625,13,-1.0,7.64765625,73
train_104,phi3,6,3,"method,objective,result",50,-30.609375,objective,objective,True,0.094,0.179,8,,,0,52.578125,52.7275,122,62.390625,66.14375,30,,,0,-0.59375,3.269375,28
train_105,phi3,6,3,"background,method,result",49,-27.9375,background,background,True,0.089,0.168,8,63.625,62.9184375,48,12.90625,7.4525,17,,,0,,,0,17.53125,19.3165625,59
train_106,phi3,6,3,"background,method,result",52,-34.46875,result,result,True,0.1,0.181,8,-1.40625,11.1721875,42,19.125,40.8746875,77,,,0,,,0,45.40625,71.609375,68
train_107,phi3,5,2,"background,result",63,-33.25,result,result,True,0.063,0.081,4,18.4375,28.4475,51,,,0,,,0,,,0,30.6875,43.4275,57
train_108,phi3,7,3,"background,method,result",55,-37.28125,result,result,True,0.101,0.184,8,7.3125,24.140625,108,7.625,20.743125,28,,,0,,,0,35.78125,40.2725,77
train_109,phi3,10,3,"background,method,result",64,-32.375,method,method,True,0.101,0.184,8,15.8125,23.28859375,60,63.0,71.97984375,103,,,0,,,0,-1.296875,3.4815625,43
train_110,phi3,9,4,"background,method,objective,result",64,-31.671875,objective,objective,True,0.114,0.34,16,1.984375,5.40609375,33,20.984375,23.671875,62,28.265625,33.27265625,16,,,0,0.203125,4.2275,37
train_111,phi3,10,4,"background,method,objective,other",51,-21.5625,background,background,True,0.146,0.399,16,112.6875,118.063125,65,0.015625,3.4275,145,1.203125,9.0290625,33,0.484375,1.9178125,21,,,0
train_112,phi3,9,4,"background,method,objective,result",60,-27.84375,objective,objective,True,0.115,0.343,16,8.65625,13.1878125,15,30.78125,32.1221875,87,45.21875,48.84,17,,,0,-0.125,3.19375,40
train_113,phi3,6,2,"background,result",57,-23.3125,result,result,True,0.068,0.087,4,33.15625,40.76,119,,,0,,,0,,,0,61.125,70.8025,53
train_114,phi3,6,4,"background,method,objective,result",67,-28.03125,method,method,True,0.112,0.335,16,2.1875,7.1796875,50,99.84375,90.5846875,60,36.09375,40.053125,21,,,0,1.65625,4.65125,18
train_115,phi3,6,3,"background,objective,result",56,-37.34375,background,background,True,0.089,0.17,8,46.15625,71.329375,42,,,0,3.84375,3.3815625,55,,,0,10.375,31.3203125,37
train_116,phi3,10,3,"background,method,result",65,-43.09375,result,result,True,0.106,0.191,8,44.09375,59.9834375,77,2.4375,13.929375,102,,,0,,,0,53.96875,65.1184375,85
train_117,phi3,9,4,"background,method,objective,result",55,-45.28125,method,method,True,0.116,0.346,16,29.03125,31.8246875,61,30.09375,32.5309375,56,5.75,11.31375,22,,,0,-1.15625,2.049375,25
train_118,phi3,7,4,"method,objective,other,result",67,-41.75,method,method,True,0.116,0.346,16,,,0,10.3125,27.0134375,73,6.03125,21.964375,26,0.59375,1.371875,6,8.125,15.3378125,53
train_119,phi3,8,4,"background,method,other,result",68,-34.21875,background,background,True,0.116,0.346,16,82.71875,85.981875,112,51.15625,51.3996875,52,,,0,-0.1875,3.205,3,0.28125,6.1946875,18
train_120,phi3,7,4,"background,method,objective,result",62,-36.875,result,result,True,0.114,0.34,16,0.65625,3.4359375,13,2.34375,15.164375,45,46.25,52.2696875,17,,,0,78.25,95.755,64
train_121,phi3,8,3,"method,objective,result",60,-28.125,result,result,True,0.087,0.168,8,,,0,-0.046875,13.45828125,26,40.5,53.8371875,65,,,0,43.9375,56.95453125,45
train_122,phi3,7,4,"background,method,objective,result",61,-25.71875,method,method,True,0.107,0.323,16,12.6875,13.8384375,15,97.46875,102.3353125,66,3.609375,8.975,10,,,0,-0.515625,-2.1175,14
train_123,phi3,7,4,"background,method,objective,result",67,-25.8125,objective,objective,True,0.116,0.348,16,-0.234375,6.32703125,93,0.109375,14.5134375,36,27.1875,39.51296875,23,,,0,22.5,29.7715625,19
train_124,phi3,10,5,"background,method,objective,other,result",58,-34.9375,objective,objective,True,0.136,0.682,32,1.03125,3.984375,12,25.0,30.5996875,24,68.0625,70.0821875,73,-0.25,2.3184375,7,8.53125,12.3278125,28
train_125,phi3,7,4,"background,method,objective,result",56,-29.5625,method,method,True,0.118,0.349,16,2.46875,14.3534375,49,92.625,104.8378125,84,2.59375,10.1428125,22,,,0,3.40625,3.3534375,30
train_126,phi3,7,3,"background,method,other",62,-35.71875,method,method,True,0.086,0.164,8,24.15625,39.3540625,10,123.28125,132.3515625,50,,,0,-0.1875,6.075625,14,,,0
train_127,phi3,9,4,"background,method,objective,result",54,-35.34375,method,method,True,0.117,0.343,16,-0.1875,6.7996875,10,74.65625,84.2928125,49,2.75,10.2440625,14,,,0,21.6875,27.5696875,67
train_128,phi3,8,2,"background,method",62,-35.90625,method,method,True,0.065,0.083,4,1.90625,12.3425,15,125.84375,139.12625,89,,,0,,,0,,,0
train_129,phi3,7,3,"background,method,result",60,-34.90625,method,method,True,0.09,0.17,8,10.375,36.791875,56,30.34375,67.3553125,88,,,0,,,0,0.53125,3.1965625,13
train_130,phi3,8,2,"background,result",45,-23.390625,result,result,True,0.074,0.091,4,20.921875,46.33875,37,,,0,,,0,,,0,44.421875,76.770625,121
train_131,phi3,7,2,"background,objective",62,-38.71875,background,background,True,0.066,0.084,4,123.40625,130.80375,103,,,0,-0.8125,8.6025,40,,,0,,,0
train_132,phi3,9,3,"background,method,result",52,-29.40625,method,method,True,0.095,0.177,8,11.625,12.8746875,89,42.53125,45.23625,71,,,0,,,0,14.625,17.4828125,35
train_133,phi3,10,4,"background,method,objective,result",58,-31.671875,objective,objective,True,0.119,0.351,16,2.265625,8.030625,52,-0.0625,-1.336875,15,33.265625,40.326875,102,,,0,1.109375,2.745,16
train_134,phi3,7,3,"background,method,objective",69,-30.65625,background,background,True,0.085,0.162,8,72.21875,78.6409375,33,0.5,2.08421875,55,-0.890625,7.86859375,14,,,0,,,0
train_135,phi3,8,3,"background,objective,result",47,-24.875,objective,objective,True,0.103,0.185,8,0.015625,21.956875,83,,,0,35.53125,63.89953125,60,,,0,-0.484375,2.76859375,75
train_136,phi3,9,4,"background,method,objective,result",38,-23.328125,method,method,True,0.127,0.366,16,-0.09375,2.976875,21,42.921875,43.27328125,102,20.109375,28.40703125,16,,,0,1.484375,7.0146875,32
train_137,phi3,10,4,"background,method,objective,result",49,-31.015625,background,background,True,0.151,0.406,16,40.859375,59.09421875,93,35.671875,56.91375,48,0.03125,12.0453125,49,,,0,0.890625,0.80609375,57
train_138,phi3,10,3,"background,method,objective",62,-39.71875,background,objective,False,0.095,0.18,8,32.53125,42.4328125,32,1.65625,11.801875,126,31.15625,48.1715625,59,,,0,,,0
train_139,phi3,9,3,"background,method,result",66,-29.8125,method,method,True,0.093,0.177,8,56.4375,54.534375,59,81.4375,78.95375,93,,,0,,,0,2.25,5.574375,40
train_140,phi3,6,3,"background,method,result",66,-40.3125,background,background,True,0.087,0.169,8,46.25,44.7696875,78,43.625,42.3715625,35,,,0,,,0,1.46875,2.67125,22
train_141,phi3,10,4,"background,method,objective,result",57,-35.28125,objective,objective,True,0.118,0.35,16,0.375,8.573125,6,47.53125,55.441875,130,86.03125,88.2603125,24,,,0,0.375,4.6934375,12
train_142,phi3,5,3,"background,method,objective",60,-26.609375,background,background,True,0.088,0.167,8,102.390625,106.24890625,58,38.078125,43.58203125,39,-0.296875,3.5596875,25,,,0,,,0
train_143,phi3,7,3,"background,method,result",57,-40.78125,result,background,False,0.091,0.172,8,23.71875,30.3409375,71,15.96875,28.7059375,27,,,0,,,0,27.09375,26.984375,60
train_144,phi3,6,4,"background,method,objective,result",61,-30.703125,background,background,True,0.116,0.343,16,60.484375,60.32796875,46,51.234375,55.755625,62,0.40625,2.8203125,22,,,0,4.265625,9.26796875,21
train_145,phi3,7,4,"background,method,objective,result",64,-38.84375,method,method,True,0.115,0.34,16,5.375,9.961875,33,69.40625,74.7065625,86,2.90625,8.253125,25,,,0,1.25,2.1096875,13
