abstract_id,model,num_sentences,num_sections,sections_present,hypothesis_length,fa_baseline_lp,fa_top_section,sh_top_section,top_section_agree,fa_time_s,sh_time_s,sh_forward_passes,fa_background,sh_background,words_background,fa_objective,sh_objective,words_objective,fa_method,sh_method,words_method,fa_result,sh_result,words_result,fa_other,sh_other,words_other
train_43,llama8b,6,2,"background,result",70,-29.015625,background,background,True,0.102,0.132,4,52.234375,53.63,27,,,0,,,0,7.953125,9.729375,36,,,0
train_44,llama8b,10,4,"background,method,objective,other",72,-25.046875,other,other,True,0.19,0.558,16,-1.375,4.98125,33,42.515625,44.00828125,52,-0.75,4.50875,20,,,0,64.828125,63.95484375,76
train_45,llama8b,10,4,"background,method,objective,other",67,-29.9375,objective,objective,True,0.182,0.55,16,0.046875,4.95421875,46,75.3125,77.18390625,65,1.46875,15.5246875,36,,,0,10.875,11.8996875,17
train_46,llama8b,7,2,"objective,other",58,-16.890625,objective,objective,True,0.107,0.138,4,,,0,73.796875,72.97875,59,,,0,,,0,61.546875,60.505625,81
train_47,llama8b,10,3,"background,objective,other",72,-32.46875,other,other,True,0.159,0.292,8,9.0625,18.968125,21,13.09375,31.3096875,126,,,0,,,0,47.84375,55.3784375,74
train_48,llama8b,5,3,"background,method,objective",66,-25.484375,method,method,True,0.134,0.261,8,1.71875,14.0209375,36,0.859375,3.29859375,10,66.453125,81.00859375,42,,,0,,,0
train_49,llama8b,6,4,"background,objective,other,result",65,-20.4375,other,other,True,0.171,0.53,16,15.5625,25.53890625,33,0.296875,9.49734375,15,,,0,0.140625,0.50765625,6,45.0625,54.51859375,49
train_50,llama8b,6,3,"background,objective,other",64,-24.1875,objective,objective,True,0.138,0.268,8,3.984375,6.728125,24,36.9375,55.87421875,58,,,0,,,0,6.265625,17.14765625,39
train_51,llama8b,7,3,"background,objective,other",63,-23.25,objective,objective,True,0.142,0.273,8,7.40625,14.4290625,37,19.21875,28.3190625,55,,,0,,,0,5.6875,11.876875,43
train_52,llama8b,4,3,"background,objective,other",69,-44.4375,objective,objective,True,0.137,0.267,8,6.1875,8.705625,65,44.5,38.1240625,16,,,0,,,0,12.09375,18.6703125,26
train_53,llama8b,9,3,"background,method,other",74,-26.96875,background,background,True,0.162,0.299,8,89.53125,83.545625,167,,,0,33.09375,34.476875,36,,,0,9.3125,10.63375,17
train_54,llama8b,8,3,"method,objective,other",68,-22.6875,objective,objective,True,0.143,0.273,8,,,0,87.5625,90.1296875,102,-0.046875,5.75875,26,,,0,0.6875,-2.4509375,19
train_55,llama8b,7,4,"background,method,objective,result",70,-32.9375,background,background,True,0.174,0.535,16,95.1875,99.44875,83,1.09375,4.91625,23,1.03125,0.9640625,20,0.25,0.7334375,1,,,0
train_56,llama8b,6,3,"background,method,objective",67,-35.8125,objective,objective,True,0.143,0.273,8,26.03125,34.1690625,48,32.25,43.2384375,72,2.875,12.28,19,,,0,,,0
train_57,llama8b,6,4,"background,method,objective,other",73,-38.3125,background,background,True,0.176,0.548,16,60.1875,58.625,58,-0.46875,4.1615625,31,34.875,39.3090625,26,,,0,1.5,6.091875,28
train_58,llama8b,8,3,"method,objective,other",63,-21.0625,other,other,True,0.159,0.294,8,,,0,1.703125,28.91265625,36,3.609375,9.66828125,40,,,0,81.6875,93.9815625,115
train_59,llama8b,8,3,"background,objective,other",72,-32.90625,objective,objective,True,0.14,0.272,8,23.46875,23.7553125,61,36.78125,39.9821875,40,,,0,,,0,12.65625,15.41875,37
train_60,llama8b,9,4,"background,objective,other,result",69,-29.9375,other,other,True,0.188,0.559,16,0.671875,1.43765625,38,6.375,10.8878125,44,,,0,1.25,-1.0675,6,38.5625,42.36703125,46
train_61,llama8b,10,4,"background,method,objective,other",67,-27.53125,method,objective,False,0.198,0.58,16,24.71875,36.66953125,39,22.53125,37.23078125,109,27.75,27.19625,26,,,0,2.984375,0.7471875,27
train_62,llama8b,9,4,"background,method,objective,other",74,-36.0,other,other,True,0.218,0.611,16,1.0,6.585625,28,2.0625,18.855,108,14.03125,23.305,46,,,0,57.9375,68.879375,80
train_63,llama8b,4,3,"background,objective,other",66,-23.828125,other,other,True,0.137,0.266,8,8.828125,20.28828125,16,0.015625,11.06453125,49,,,0,,,0,94.671875,103.5690625,56
train_64,llama8b,8,4,"background,objective,other,result",69,-26.71875,other,other,True,0.192,0.564,16,34.21875,32.5334375,22,43.46875,40.07875,48,,,0,-0.125,1.6190625,2,63.59375,55.55,71
train_65,llama8b,6,3,"background,objective,other",64,-28.828125,objective,background,False,0.144,0.276,8,16.140625,23.54390625,45,18.703125,17.15078125,58,,,0,,,0,11.484375,12.1021875,51
train_66,llama8b,7,4,"background,method,objective,other",60,-22.5,objective,objective,True,0.184,0.554,16,7.96875,15.7525,34,49.0,60.0978125,38,16.09375,28.165625,25,,,0,2.21875,5.2340625,51
train_67,llama8b,6,4,"method,objective,other,result",68,-25.046875,method,other,False,0.173,0.537,16,,,0,-0.921875,4.23390625,26,21.421875,51.4703125,38,-0.28125,0.10875,6,15.203125,53.51515625,56
train_68,llama8b,4,3,"method,objective,other",69,-45.0625,objective,objective,True,0.138,0.27,8,,,0,30.9375,42.0846875,67,20.0,29.6021875,23,,,0,2.71875,4.313125,29
train_69,llama8b,10,4,"background,method,objective,other",68,-23.25,objective,objective,True,0.197,0.573,16,1.65625,6.81828125,52,32.21875,40.1,99,26.03125,35.52765625,21,,,0,1.125,3.5540625,14
train_70,llama8b,6,2,"background,objective",67,-42.15625,background,background,True,0.1,0.132,4,34.46875,44.63,32,9.53125,22.46375,60,,,0,,,0,,,0
train_71,llama8b,6,4,"background,method,objective,other",72,-27.296875,background,method,False,0.182,0.55,16,24.765625,26.76140625,41,3.859375,15.456875,58,16.578125,30.02515625,30,,,0,3.109375,3.9596875,17
train_72,llama8b,4,3,"background,method,objective",65,-22.96875,method,method,True,0.138,0.27,8,32.21875,34.46625,37,7.4375,9.444375,34,53.15625,47.808125,43,,,0,,,0
train_73,llama8b,8,3,"background,objective,other",67,-26.46875,background,background,True,0.146,0.276,8,52.65625,58.99015625,104,7.34375,10.88890625,27,,,0,,,0,0.734375,7.1521875,36
train_74,llama8b,5,3,"background,objective,other",67,-22.234375,background,background,True,0.137,0.267,8,46.578125,42.71765625,62,6.4375,5.2696875,26,,,0,,,0,23.421875,16.71578125,26
train_75,llama8b,8,3,"background,objective,other",64,-19.53125,objective,objective,True,0.144,0.275,8,15.1875,17.12765625,26,68.53125,91.00078125,65,,,0,,,0,1.546875,16.8403125,47
train_76,llama8b,8,4,"method,objective,other,result",72,-31.625,objective,objective,True,0.186,0.555,16,,,0,54.0625,56.98,80,36.1875,40.1084375,48,3.25,-0.064375,7,0.4375,5.6009375,24
train_77,llama8b,9,4,"background,method,objective,other",66,-24.15625,other,other,True,0.198,0.577,16,24.0625,25.09625,53,1.875,8.1090625,24,3.5,16.075625,23,,,0,31.0625,36.8753125,99
train_78,llama8b,10,4,"background,objective,other,result",60,-18.453125,other,other,True,0.202,0.595,16,5.0,7.0559375,36,54.359375,41.61375,128,,,0,1.28125,-1.234375,7,54.984375,49.5490625,39
train_79,llama8b,8,3,"background,objective,other",66,-26.625,other,objective,False,0.151,0.285,8,-0.9375,-1.278125,36,14.15625,40.5659375,88,,,0,,,0,14.6875,31.3371875,52
train_80,llama8b,6,3,"background,objective,other",73,-35.34375,objective,objective,True,0.153,0.286,8,13.28125,17.5840625,123,29.46875,32.9290625,23,,,0,,,0,5.875,24.143125,24
train_81,llama8b,5,3,"background,objective,other",70,-42.21875,other,other,True,0.168,0.306,8,-0.46875,4.9590625,73,1.78125,5.59625,21,,,0,,,0,78.46875,92.2259375,156
train_82,llama8b,4,3,"background,method,objective",72,-35.625,method,method,True,0.138,0.268,8,7.09375,10.4715625,46,7.78125,5.3959375,50,68.1875,70.8825,38,,,0,,,0
train_83,llama8b,9,4,"background,method,objective,other",69,-39.3125,other,other,True,0.172,0.533,16,2.46875,1.590625,14,9.84375,10.2846875,9,19.40625,19.9225,26,,,0,39.375,37.3896875,57
train_84,llama8b,4,2,"background,other",71,-26.953125,background,background,True,0.102,0.134,4,149.171875,160.99,70,,,0,,,0,,,0,4.265625,19.306875,55
train_85,llama8b,10,4,"background,method,objective,other",70,-34.3125,method,method,True,0.219,0.612,16,21.9375,26.330625,65,3.25,9.31,56,31.25,41.543125,90,,,0,1.375,2.31625,27
train_86,llama8b,9,4,"background,method,objective,other",68,-26.96875,objective,objective,True,0.203,0.583,16,12.25,20.316875,45,64.65625,70.0065625,79,31.8125,33.17875,17,,,0,4.46875,2.5290625,70
train_87,llama8b,10,5,"background,method,objective,other,result",68,-37.6875,method,method,True,0.234,1.127,32,0.875,4.735625,23,23.375,33.7709375,59,28.25,34.0865625,28,2.3125,3.7153125,14,10.96875,27.5040625,44
train_88,llama8b,8,2,"background,objective",66,-22.71875,objective,objective,True,0.108,0.14,4,9.875,13.505,72,100.78125,105.40125,90,,,0,,,0,,,0
train_89,llama8b,10,4,"background,method,objective,other",60,-28.265625,other,other,True,0.206,0.589,16,-1.046875,9.53171875,52,13.171875,30.280625,75,1.453125,6.83109375,20,,,0,49.171875,59.2159375,58
train_90,llama8b,7,3,"background,objective,other",68,-26.609375,objective,objective,True,0.155,0.291,8,20.203125,22.33265625,49,51.828125,52.49703125,108,,,0,,,0,47.828125,43.9359375,35
train_91,llama8b,10,3,"background,objective,other",57,-22.96875,objective,objective,True,0.175,0.317,8,1.78125,16.1359375,143,17.34375,28.071875,25,,,0,,,0,9.21875,24.6984375,81
train_92,llama8b,8,3,"background,objective,other",66,-19.078125,other,other,True,0.17,0.305,8,19.359375,39.89046875,96,3.109375,14.96921875,45,,,0,,,0,55.796875,70.5621875,71
train_93,llama8b,8,4,"background,method,objective,other",69,-43.0,background,background,True,0.211,0.595,16,19.09375,21.2053125,99,0.71875,10.5371875,73,7.21875,19.133125,44,,,0,2.59375,9.811875,20
train_94,llama8b,8,3,"background,objective,other",65,-35.90625,objective,objective,True,0.158,0.293,8,0.625,4.5790625,35,35.21875,65.61625,84,,,0,,,0,20.6875,34.3984375,57
train_95,llama8b,10,3,"background,objective,other",68,-26.84375,objective,objective,True,0.149,0.284,8,11.40625,19.1459375,94,78.15625,90.2378125,69,,,0,,,0,-0.34375,2.5225,22
train_96,llama8b,7,3,"method,objective,other",72,-28.921875,method,method,True,0.137,0.265,8,,,0,1.53125,6.0490625,44,42.640625,47.75734375,21,,,0,37.515625,34.89671875,48
train_97,llama8b,8,4,"background,method,objective,other",71,-30.0625,objective,objective,True,0.195,0.574,16,-0.828125,2.56890625,21,44.3125,49.51328125,97,15.71875,22.4946875,31,,,0,9.65625,13.235625,37
train_98,llama8b,7,3,"background,objective,other",64,-26.9375,objective,objective,True,0.142,0.272,8,43.875,50.426875,44,112.0625,105.94125,73,,,0,,,0,1.75,0.819375,22
train_99,llama8b,6,3,"background,other,result",68,-37.09375,background,background,True,0.138,0.267,8,22.125,34.7159375,59,,,0,,,0,3.1875,9.6325,18,5.4375,13.8703125,15
train_100,llama8b,5,3,"method,objective,other",71,-37.0,other,other,True,0.137,0.268,8,,,0,3.46875,-0.1396875,35,10.625,20.17875,38,,,0,35.25,46.1484375,39
train_101,llama8b,6,4,"background,objective,other,result",66,-35.1875,objective,objective,True,0.18,0.547,16,3.96875,12.6453125,56,60.25,70.75625,40,,,0,1.09375,0.928125,5,8.21875,15.2328125,36
train_102,llama8b,9,4,"background,method,objective,other",67,-40.71875,objective,objective,True,0.203,0.585,16,0.9375,2.1746875,123,46.21875,54.4225,63,6.5,18.741875,14,,,0,-0.71875,3.8796875,19
train_103,llama8b,9,4,"method,objective,other,result",66,-20.65625,method,method,True,0.21,0.597,16,,,0,51.84375,43.975625,90,64.78125,58.81078125,24,0.921875,4.87078125,13,4.265625,5.4365625,73
train_104,llama8b,6,3,"method,objective,other",65,-32.625,objective,objective,True,0.155,0.291,8,,,0,78.0625,82.220625,122,19.03125,26.620625,30,,,0,0.875,1.28375,28
train_105,llama8b,6,3,"background,objective,other",58,-16.015625,background,background,True,0.141,0.27,8,60.921875,59.27328125,48,14.765625,9.47421875,17,,,0,,,0,45.078125,41.799375,59
train_106,llama8b,6,3,"background,objective,other",64,-21.59375,objective,objective,True,0.154,0.286,8,0.234375,10.23015625,42,27.21875,53.71203125,77,,,0,,,0,8.09375,38.5265625,68
train_107,llama8b,5,2,"background,other",72,-34.5625,background,background,True,0.101,0.132,4,41.25,46.43375,51,,,0,,,0,,,0,11.03125,17.62875,57
train_108,llama8b,7,3,"background,objective,other",71,-36.28125,other,other,True,0.16,0.294,8,6.65625,19.3434375,108,6.4375,5.76125,28,,,0,,,0,70.59375,79.6140625,77
train_109,llama8b,10,3,"background,objective,other",67,-25.5,objective,objective,True,0.158,0.294,8,18.375,26.665,60,44.5,70.86875,103,,,0,,,0,3.5625,19.21625,43
train_110,llama8b,9,4,"background,method,objective,other",70,-24.15625,objective,objective,True,0.182,0.55,16,0.78125,2.2771875,33,49.84375,52.05203125,62,17.1875,22.76890625,16,,,0,3.484375,4.745625,37
train_111,llama8b,10,4,"background,method,objective,result",73,-37.0,method,method,True,0.233,0.642,16,9.1875,11.066875,65,7.8125,24.5265625,145,21.65625,30.3428125,33,-1.125,-0.81125,21,,,0
train_112,llama8b,9,4,"background,method,objective,other",64,-29.34375,objective,objective,True,0.188,0.557,16,16.40625,21.626875,15,38.03125,43.52375,87,0.59375,5.658125,17,,,0,13.78125,21.41,40
train_113,llama8b,6,2,"background,other",67,-40.46875,other,other,True,0.108,0.14,4,7.375,24.755,119,,,0,,,0,,,0,31.71875,53.83875,53
train_114,llama8b,6,4,"background,method,objective,other",71,-19.234375,objective,objective,True,0.177,0.541,16,3.625,8.4190625,50,65.703125,52.04546875,60,41.015625,39.33203125,21,,,0,17.453125,8.6565625,18
train_115,llama8b,6,3,"background,method,other",66,-17.53125,background,background,True,0.144,0.275,8,62.53125,89.3515625,42,,,0,2.203125,0.45859375,55,,,0,11.75,32.03359375,37
train_116,llama8b,10,3,"background,objective,other",70,-26.25,background,background,True,0.175,0.311,8,65.8125,63.909375,77,5.3125,11.649375,102,,,0,,,0,53.0,48.44125,85
train_117,llama8b,9,4,"background,method,objective,other",71,-35.90625,method,method,True,0.189,0.558,16,6.3125,8.251875,61,3.4375,11.82,56,18.46875,24.58875,22,,,0,3.3125,11.183125,25
train_118,llama8b,7,4,"method,objective,other,result",71,-32.34375,other,other,True,0.185,0.558,16,,,0,6.5,27.3453125,73,3.0625,22.8446875,26,1.03125,-0.174375,6,31.84375,36.640625,53
train_119,llama8b,8,4,"background,objective,other,result",70,-38.3125,background,background,True,0.189,0.56,16,7.34375,23.4384375,112,5.3125,23.158125,52,,,0,5.1875,1.884375,3,-0.4375,11.7065625,18
train_120,llama8b,7,4,"background,method,objective,other",73,-26.4375,method,method,True,0.185,0.549,16,34.03125,27.5084375,13,5.34375,2.38875,45,49.1875,45.0646875,17,,,0,11.09375,9.038125,64
train_121,llama8b,8,3,"method,objective,other",66,-23.890625,other,other,True,0.138,0.275,8,,,0,41.859375,38.49546875,26,42.671875,46.24859375,65,,,0,63.859375,70.6153125,45
train_122,llama8b,7,4,"background,method,objective,other",70,-26.609375,objective,objective,True,0.17,0.527,16,-0.359375,7.86109375,15,52.328125,71.71328125,66,0.171875,14.0428125,10,,,0,1.359375,3.7734375,14
train_123,llama8b,7,4,"background,method,objective,other",67,-41.1875,other,other,True,0.191,0.558,16,5.875,9.2909375,93,21.46875,34.48125,36,30.25,37.9034375,23,,,0,35.0625,41.511875,19
train_124,llama8b,10,5,"background,method,objective,other,result",69,-36.0,other,other,True,0.22,1.098,32,-0.78125,0.43,12,4.75,16.9421875,24,5.78125,20.846875,73,-0.78125,-1.6115625,7,12.6875,27.1425,28
train_125,llama8b,7,4,"background,method,objective,other",71,-30.25,objective,objective,True,0.192,0.566,16,7.25,20.2690625,49,27.4375,45.47375,84,16.0625,23.16125,22,,,0,2.84375,3.9709375,30
train_126,llama8b,7,3,"background,objective,result",68,-42.375,objective,objective,True,0.136,0.264,8,17.21875,22.7440625,10,50.875,53.3265625,50,,,0,-0.5625,3.491875,14,,,0
train_127,llama8b,9,4,"background,method,objective,other",65,-23.78125,objective,objective,True,0.191,0.564,16,3.28125,7.2278125,10,84.09375,80.4965625,49,5.734375,12.20953125,14,,,0,37.96875,34.65984375,67
train_128,llama8b,8,2,"background,objective",69,-32.1875,objective,objective,True,0.103,0.133,4,1.875,19.9975,15,45.75,68.815,89,,,0,,,0,,,0
train_129,llama8b,7,3,"background,objective,other",68,-21.9375,objective,objective,True,0.146,0.278,8,20.3125,28.165,56,50.25,58.3796875,88,,,0,,,0,-0.40625,1.5178125,13
train_130,llama8b,8,2,"background,other",63,-25.484375,other,other,True,0.113,0.145,4,13.359375,23.81625,37,,,0,,,0,,,0,41.515625,54.824375,121
train_131,llama8b,7,2,"background,method",70,-24.296875,background,background,True,0.106,0.137,4,136.328125,141.18875,103,,,0,3.703125,9.889375,40,,,0,,,0
train_132,llama8b,9,3,"background,objective,other",66,-25.703125,other,other,True,0.153,0.288,8,11.046875,9.86640625,89,2.859375,13.50171875,71,,,0,,,0,25.921875,29.11625,35
train_133,llama8b,10,4,"background,method,objective,other",68,-24.5,method,method,True,0.196,0.574,16,-1.1875,7.6690625,52,0.4375,-1.14,15,56.875,68.1178125,102,,,0,1.96875,1.478125,16
train_134,llama8b,7,3,"background,method,objective",71,-35.34375,background,background,True,0.136,0.264,8,40.78125,49.670625,33,4.125,9.66875,55,-2.84375,12.691875,14,,,0,,,0
train_135,llama8b,8,3,"background,method,other",67,-29.34375,method,method,True,0.161,0.297,8,5.125,26.950625,83,,,0,58.78125,83.463125,60,,,0,7.5,11.7425,75
train_136,llama8b,9,4,"background,method,objective,other",54,-21.0,other,method,False,0.203,0.59,16,0.984375,2.989375,21,3.765625,11.74765625,102,15.84375,24.83546875,16,,,0,16.78125,20.115,32
train_137,llama8b,10,4,"background,method,objective,other",59,-23.65625,background,background,True,0.224,0.624,16,38.78125,50.55796875,93,12.46875,21.25171875,48,19.40625,21.533125,49,,,0,1.546875,-5.6240625,57
train_138,llama8b,10,3,"background,method,objective",70,-32.34375,background,method,False,0.158,0.292,8,12.6875,26.3775,32,12.25,26.9415625,126,3.5625,32.2746875,59,,,0,,,0
train_139,llama8b,9,3,"background,objective,other",63,-21.015625,objective,objective,True,0.153,0.288,8,12.703125,19.27234375,59,40.953125,42.57765625,93,,,0,,,0,18.234375,19.884375,40
train_140,llama8b,6,3,"background,objective,other",72,-27.734375,objective,objective,True,0.138,0.267,8,23.546875,25.49671875,78,83.890625,83.32734375,35,,,0,,,0,7.171875,7.3165625,22
train_141,llama8b,10,4,"background,method,objective,other",72,-24.375,method,method,True,0.195,0.579,16,0.59375,2.300625,6,7.59375,11.91703125,130,100.0625,102.749375,24,,,0,0.609375,3.78296875,12
train_142,llama8b,5,3,"background,method,objective",71,-32.15625,objective,objective,True,0.137,0.268,8,4.15625,13.7678125,58,29.625,40.78125,39,10.59375,16.4196875,25,,,0,,,0
train_143,llama8b,7,3,"background,objective,other",69,-38.59375,background,background,True,0.149,0.28,8,47.53125,52.2290625,71,38.34375,44.0665625,27,,,0,,,0,1.09375,1.860625,60
